Day,SUSCEPTIBLE (total),SUSCEPTIBLE (%),INFECTIOUS (total),INFECTIOUS (%),RECOVERED (total),RECOVERED (%)
1,246791,98.71640000000001,2810,1.124,399,0.1596
2,246046,98.41839999999999,3084,1.2336,870,0.348
3,245249,98.0996,3377,1.3508,1374,0.5496
4,244460,97.784,3574,1.4296,1966,0.7864
5,243665,97.466,3776,1.5104,2559,1.0236
6,242807,97.1228,4015,1.606,3178,1.2711999999999999
7,241946,96.7784,4178,1.6712,3876,1.5504
8,241100,96.44,4337,1.7348,4563,1.8252000000000002
9,240301,96.12039999999999,4447,1.7788000000000002,5252,2.1008
10,239497,95.7988,4495,1.798,6008,2.4032
11,238692,95.4768,4574,1.8296,6734,2.6936
12,237909,95.1636,4614,1.8456000000000001,7477,2.9908
13,237163,94.8652,4594,1.8376,8243,3.2972
14,236419,94.5676,4612,1.8448,8969,3.5875999999999997
15,235693,94.27720000000001,4579,1.8316,9728,3.8912000000000004
16,234983,93.9932,4511,1.8044,10506,4.2024
17,234329,93.7316,4406,1.7624,11265,4.506
18,233658,93.4632,4335,1.7340000000000002,12007,4.8028
19,233035,93.214,4211,1.6844000000000001,12754,5.1015999999999995
20,232393,92.9572,4145,1.6580000000000001,13462,5.3848
21,231815,92.726,4049,1.6196,14136,5.6544
22,231257,92.5028,3934,1.5735999999999999,14809,5.9235999999999995
23,230722,92.28880000000001,3840,1.536,15438,6.1752
24,230192,92.0768,3724,1.4896,16084,6.4336
25,229679,91.8716,3613,1.4452,16708,6.6832
26,229206,91.6824,3469,1.3876,17325,6.93
27,228739,91.4956,3360,1.344,17901,7.1604
28,228298,91.3192,3224,1.2895999999999999,18478,7.3912
29,227855,91.142,3140,1.256,19005,7.602
30,227398,90.9592,3062,1.2248,19540,7.815999999999999
31,227007,90.80279999999999,2968,1.1872,20025,8.01
32,226640,90.656,2885,1.154,20475,8.19
33,226290,90.51599999999999,2744,1.0976,20966,8.3864
34,225951,90.38040000000001,2638,1.0552000000000001,21411,8.5644
35,225613,90.2452,2542,1.0168,21845,8.738
36,225283,90.1132,2445,0.9780000000000001,22272,8.9088
37,224974,89.9896,2337,0.9348000000000001,22689,9.0756
38,224676,89.87039999999999,2241,0.8964,23083,9.2332
39,224397,89.75880000000001,2137,0.8548,23466,9.3864
40,224142,89.6568,2059,0.8236,23799,9.5196
41,223891,89.5564,1981,0.7924,24128,9.6512
42,223636,89.4544,1899,0.7596,24465,9.786
43,223407,89.3628,1835,0.734,24758,9.9032
44,223178,89.2712,1766,0.7064,25056,10.0224
45,222941,89.1764,1742,0.6968,25317,10.1268
46,222717,89.0868,1651,0.6604,25632,10.252799999999999
47,222504,89.0016,1607,0.6427999999999999,25889,10.355599999999999
48,222299,88.9196,1545,0.618,26156,10.462399999999999
49,222093,88.83720000000001,1521,0.6084,26386,10.5544
50,221908,88.7632,1442,0.5768,26650,10.66
51,221721,88.6884,1381,0.5524,26898,10.7592
52,221552,88.6208,1323,0.5292,27125,10.85
53,221380,88.55199999999999,1292,0.5168,27328,10.9312
54,221235,88.494,1218,0.48719999999999997,27547,11.018799999999999
55,221075,88.42999999999999,1175,0.47000000000000003,27750,11.1
56,220917,88.3668,1150,0.45999999999999996,27933,11.1732
57,220793,88.3172,1078,0.43119999999999997,28129,11.2516
58,220657,88.2628,1024,0.40959999999999996,28319,11.3276
59,220529,88.2116,986,0.3944,28485,11.394
60,220413,88.1652,957,0.3828,28630,11.452
61,220274,88.1096,922,0.36879999999999996,28804,11.5216
62,220155,88.062,896,0.3584,28949,11.5796
63,220040,88.016,859,0.34359999999999996,29101,11.6404
64,219948,87.9792,801,0.32039999999999996,29251,11.7004
65,219840,87.936,770,0.308,29390,11.756
66,219729,87.8916,753,0.30119999999999997,29518,11.8072
67,219631,87.8524,721,0.2884,29648,11.8592
68,219539,87.8156,674,0.2696,29787,11.9148
69,219456,87.78240000000001,643,0.2572,29901,11.9604
70,219378,87.7512,614,0.24559999999999998,30008,12.0032
71,219303,87.7212,586,0.23440000000000003,30111,12.0444
72,219228,87.69120000000001,551,0.22039999999999998,30221,12.0884
73,219157,87.66279999999999,512,0.20479999999999998,30331,12.1324
74,219103,87.6412,472,0.1888,30425,12.17
75,219041,87.6164,456,0.1824,30503,12.2012
76,218979,87.5916,453,0.1812,30568,12.2272
77,218922,87.5688,437,0.1748,30641,12.256400000000001
78,218859,87.5436,433,0.1732,30708,12.283199999999999
79,218800,87.52,434,0.1736,30766,12.3064
80,218754,87.5016,407,0.1628,30839,12.3356
81,218701,87.4804,400,0.16,30899,12.3596
82,218661,87.4644,374,0.14959999999999998,30965,12.386
83,218612,87.4448,350,0.13999999999999999,31038,12.4152
84,218574,87.4296,328,0.1312,31098,12.4392
85,218531,87.4124,303,0.1212,31166,12.4664
86,218505,87.402,283,0.1132,31212,12.4848
87,218467,87.3868,263,0.1052,31270,12.508
88,218442,87.3768,254,0.1016,31304,12.5216
89,218409,87.36359999999999,232,0.0928,31359,12.5436
90,218380,87.35199999999999,227,0.09079999999999999,31393,12.557199999999998
